env_steps,update,loss_pi,loss_v,entropy,approx_kl,clip_frac,mean_ep_return_recent,mean_ep_len_recent,sps
260000,130,-0.000000,0.000063,0.000144,-0.000000,0.000000,-0.036980,1440.00,3284.2
262000,131,0.000000,0.000077,0.000106,0.000000,0.000000,-0.036980,1440.00,3183.6
264000,132,-0.000000,0.000067,0.000111,-0.000000,0.000000,-0.036980,1440.00,2976.9
266000,133,0.000000,0.000066,0.000173,-0.000000,0.000000,-0.036980,1440.00,3254.4
268000,134,0.000000,0.000125,0.000196,-0.000000,0.000000,-0.036980,1440.00,3413.0
270000,135,-0.000000,0.000913,0.000125,-0.000000,0.000000,-0.036980,1440.00,3716.2
272000,136,0.000000,0.000574,0.000158,-0.000000,0.000000,-0.036980,1440.00,3508.6
274000,137,-0.000000,0.000064,0.000246,-0.000000,0.000000,-0.036980,1440.00,3380.4
276000,138,-0.000000,0.000081,0.000383,-0.000000,0.000000,-0.036980,1440.00,2869.2
278000,139,0.000000,0.000093,0.000292,-0.000000,0.000000,-0.035365,1440.00,2815.4
280000,140,0.000000,0.000092,0.000219,-0.000000,0.000000,-0.035365,1440.00,2782.5
282000,141,0.000000,0.000126,0.000299,-0.000000,0.000000,-0.035365,1440.00,3282.2
284000,142,-0.000000,0.000053,0.000308,-0.000000,0.000000,-0.035365,1440.00,3423.2
286000,143,0.000000,0.000065,0.000324,-0.000000,0.000000,-0.035365,1440.00,3544.4
288000,144,-0.000000,0.000084,0.000316,-0.000000,0.000000,-0.035365,1440.00,3336.9
290000,145,0.000000,0.000121,0.000351,-0.000000,0.000000,-0.035365,1440.00,3384.1
292000,146,-0.000000,0.000058,0.000350,-0.000000,0.000000,-0.035365,1440.00,3479.1
294000,147,0.000000,0.000040,0.000320,-0.000000,0.000000,-0.035365,1440.00,3436.6
296000,148,0.000000,0.000042,0.000320,-0.000000,0.000000,-0.035365,1440.00,3045.0
298000,149,0.000000,0.000043,0.000446,-0.000000,0.000000,-0.035365,1440.00,3133.6
300000,150,0.000000,0.000052,0.000364,-0.000000,0.000000,-0.033213,1440.00,2990.0
302000,151,-0.000000,0.000040,0.000296,-0.000000,0.000000,-0.033213,1440.00,3191.8
304000,152,-0.000000,0.000040,0.000399,0.000000,0.000000,-0.033213,1440.00,3208.5
306000,153,-0.000000,0.000049,0.000376,-0.000000,0.000000,-0.033213,1440.00,3335.3
308000,154,0.000000,0.000069,0.000375,-0.000000,0.000000,-0.033213,1440.00,3232.0
310000,155,0.000000,0.000071,0.000391,-0.000000,0.000000,-0.033213,1440.00,2845.4
312000,156,0.000000,0.000073,0.000487,-0.000000,0.000000,-0.033213,1440.00,3515.2
314000,157,-0.000000,0.000065,0.000288,-0.000000,0.000000,-0.033213,1440.00,3401.3
316000,158,-0.000000,0.000066,0.000303,-0.000000,0.000000,-0.033213,1440.00,3492.2
318000,159,-0.000214,0.000170,0.000197,0.000538,0.000375,-0.033213,1440.00,3284.7
320000,160,-0.000000,0.001254,0.000032,0.000000,0.000000,-0.033213,1440.00,3356.2
322000,161,-0.000000,0.000227,0.000032,-0.000000,0.000000,-0.033213,1440.00,3393.8
324000,162,-0.000000,0.000176,0.000030,-0.000000,0.000000,-0.033222,1440.00,3302.3
326000,163,0.000000,0.001232,0.000038,-0.000000,0.000000,-0.033222,1440.00,3139.0
328000,164,0.000000,0.000120,0.000041,-0.000000,0.000000,-0.033222,1440.00,3346.0
330000,165,-0.000000,0.000786,0.000042,-0.000000,0.000000,-0.033222,1440.00,3402.9
332000,166,0.000000,0.001318,0.000059,-0.000000,0.000000,-0.033222,1440.00,3411.4
334000,167,-0.000000,0.000147,0.000060,-0.000000,0.000000,-0.033222,1440.00,3248.0
336000,168,-0.000000,0.000121,0.000062,-0.000000,0.000000,-0.033222,1440.00,3463.8
338000,169,-0.000000,0.000068,0.000078,-0.000000,0.000000,-0.033222,1440.00,3581.4
340000,170,0.000000,0.000098,0.000108,-0.000000,0.000000,-0.033222,1440.00,3274.3
342000,171,0.000000,0.000043,0.000108,-0.000000,0.000000,-0.033222,1440.00,3079.2
344000,172,0.000000,0.000051,0.000098,0.000000,0.000000,-0.033222,1440.00,3359.8
346000,173,-0.000000,0.000042,0.000070,0.000000,0.000000,-0.033583,1440.00,3339.4
348000,174,-0.000000,0.000035,0.000068,0.000000,0.000000,-0.033583,1440.00,3483.4
350000,175,0.000000,0.000034,0.000089,0.000000,0.000000,-0.033583,1440.00,3260.6
352000,176,-0.000000,0.000036,0.000107,0.000000,0.000000,-0.033583,1440.00,3634.0
354000,177,-0.000000,0.000045,0.000080,0.000000,0.000000,-0.033583,1440.00,3443.3
356000,178,0.000000,0.000038,0.000108,0.000000,0.000000,-0.033583,1440.00,3596.0
358000,179,-0.000000,0.000040,0.000075,0.000000,0.000000,-0.033583,1440.00,3242.7
360000,180,-0.000000,0.000040,0.000074,0.000000,0.000000,-0.033583,1440.00,3112.2
362000,181,0.000000,0.000046,0.000078,0.000000,0.000000,-0.033583,1440.00,3143.5
364000,182,-0.000000,0.000037,0.000084,0.000000,0.000000,-0.033583,1440.00,3405.0
366000,183,-0.000000,0.000038,0.000087,0.000000,0.000000,-0.033583,1440.00,3465.5
368000,184,-0.000000,0.000027,0.000091,0.000000,0.000000,-0.033583,1440.00,3068.9
370000,185,-0.000000,0.000035,0.000081,0.000000,0.000000,-0.032194,1440.00,3227.4
372000,186,-0.000000,0.000034,0.000084,0.000000,0.000000,-0.032194,1440.00,3379.8
374000,187,-0.000000,0.000037,0.000100,0.000000,0.000000,-0.032194,1440.00,3317.8
376000,188,-0.000000,0.000040,0.000143,0.000000,0.000000,-0.032194,1440.00,3231.1
378000,189,-0.000000,0.000044,0.000108,0.000000,0.000000,-0.032194,1440.00,2994.5
380000,190,-0.000000,0.000045,0.000089,0.000000,0.000000,-0.032194,1440.00,3181.4
382000,191,-0.000000,0.000034,0.000144,0.000000,0.000000,-0.032194,1440.00,3485.2
384000,192,0.000000,0.000078,0.000106,-0.000000,0.000000,-0.032194,1440.00,3347.5
386000,193,0.000000,0.000069,0.000108,-0.000000,0.000000,-0.032194,1440.00,3141.5
388000,194,0.000000,0.000039,0.000139,-0.000000,0.000000,-0.032194,1440.00,3386.5
390000,195,-0.000000,0.000026,0.000147,-0.000000,0.000000,-0.032194,1440.00,3351.0
392000,196,0.000000,0.000037,0.000147,0.000000,0.000000,-0.032072,1440.00,3328.4
